Count,Tradelist Count,Name,Foil,Textless,Promo,Signed,Edition,Condition,Language,Card Number
1,0,Griffin Guide,,,,,Duel Decks: Heroes vs. Monsters,,English,28
1,0,Stand Firm,,,,,Duel Decks: Heroes vs. Monsters,,English,21
1,0,Battle Mastery,,,,,Duel Decks: Heroes vs. Monsters,,English,27
1,0,Daily Regimen,,,,,Duel Decks: Heroes vs. Monsters,,English,18
1,0,Gustcloak Sentinel,,,,,Duel Decks: Heroes vs. Monsters,,English,13
1,0,Fencing Ace,,,,,Duel Decks: Heroes vs. Monsters,,English,5
1,0,Miraculous Recovery,,,,,Duel Decks: Heroes vs. Monsters,,English,30
1,0,Sun Titan,,,,,Duel Decks: Heroes vs. Monsters,,English,1
1,0,Righteousness,,,,,Duel Decks: Heroes vs. Monsters,,English,20
1,0,Ornitharch,,,,,Born of the Gods,,English,23
4,0,Ainok Bond-Kin,,,,,Khans of Tarkir,,English,3
4,0,Salt Road Patrol,,,,,Khans of Tarkir,,English,21
1,0,Tranquil Cove,,,,,Khans of Tarkir,,English,246
2,0,Wind-Scarred Crag,,,,,Khans of Tarkir,,English,247
1,0,Elite Scaleguard,,,,,Fate Reforged,,English,12
4,0,Pressure Point,,,,,Fate Reforged,,English,21
4,0,Sandsteppe Outcast,,,,,Fate Reforged,,English,25
1,0,Tranquil Cove,,,,,Fate Reforged,,English,174
2,0,Aven Tactician,,,,,Dragons of Tarkir,,English,6
1,0,Enduring Victory,,,,,Dragons of Tarkir,,English,16
4,0,Lightwalker,,,,,Dragons of Tarkir,,English,24
4,0,Misthoof Kirin,,,,,Dragons of Tarkir,,English,25
1,0,Sandcrafter Mage,,,,,Dragons of Tarkir,,English,33
2,0,Sandstorm Charger,,,,,Dragons of Tarkir,,English,34
1,0,Anointer of Champions,,,,,Magic Origins,,English,3
1,0,Charging Griffin,,,,,Magic Origins,,English,9
2,0,Topan Freeblade,,,,,Magic Origins,,English,36
17,0,Plains,,,,,Battle for Zendikar,,English,250
