Count,Tradelist Count,Name,Foil,Textless,Promo,Signed,Edition,Condition,Language,Card Number
1,0,Spearbreaker Behemoth,,,,,Shards of Alara,,English,150
1,0,Savage Hunger,,,,,Shards of Alara,,English,147
1,0,Wolfbriar Elemental,,,,,Worldwake,,English,118
2,0,Llanowar Elves,,,,,Magic 2010,,English,189
1,0,Kazandu Tuskcaller,,,,,Rise of the Eldrazi,,English,191
2,0,Llanowar Elves,,,,,Magic 2012,,English,182
1,0,Edge of Autumn,,,,,Duel Decks: Knights vs. Dragons,,English,25
1,0,Wolfir Avenger,,,,,Avacyn Restored,,English,205
2,0,Giant Growth,,,,,Return to Ravnica,,English,125
2,0,Phytoburst,,,,,Dragon's Maze,,English,46
1,0,Trollhide,,,,,Magic 2014 Core Set,,English,197
1,0,Prey Upon,,,,,Duel Decks: Heroes vs. Monsters,,English,62
1,0,Troll Ascetic,,,,,Duel Decks: Heroes vs. Monsters,,English,50
1,0,Beastmaster Ascension,,,,,Commander 2014,,English,186
1,0,Creeperhulk,,,,,Commander 2014,,English,42
1,0,Overwhelming Stampede,,,,,Commander 2014,,English,208
1,0,Siege Behemoth,,,,,Commander 2014,,English,46
1,0,Soul of the Harvest,,,,,Commander 2014,,English,215
1,0,Sylvan Safekeeper,,,,,Commander 2014,,English,217
1,0,Terastodon,,,,,Commander 2014,,English,218
3,0,Whisperer of the Wilds,,,,,Fate Reforged,,English,144
1,0,Tread Upon,,,,,Dragons of Tarkir,,English,211
1,0,Somberwald Alpha,,,,,Magic Origins,,English,198
1,0,Rhox Maulers,,,,,Magic Origins,,English,196
1,0,Plated Crusher,,,,,Battle for Zendikar,,English,183
