Count,Tradelist Count,Name,Foil,Textless,Promo,Signed,Edition,Condition,Language,Card Number
1,0,Fallen Angel,,,,,Fifth Edition,,English,266
1,0,Molten Slagheap,,,,,Time Spiral,,English,276
2,0,Rotting Rats,,,,,Conflux,,English,51
4,0,Dragon Fodder,,,,,Shards of Alara,,English,97
1,0,Jund Panorama,,,,,Shards of Alara,,English,225
1,0,Terramorphic Expanse,,,,,Magic 2010,,English,229
3,0,Goblin Arsonist,,,,,Magic 2012,,English,136
1,0,Goblin Arsonist,,,,,Magic 2013,,English,134
3,0,Traitorous Instinct,,,,,Return to Ravnica,,English,109
3,0,Portent of Betrayal,,,,,Theros,,English,133
1,0,Bitter Revelation,,,,,Khans of Tarkir,,English,65
1,0,Dutiful Attendant,,,,,Dragons of Tarkir,,English,99
1,0,Qal Sisma Behemoth,,,,,Dragons of Tarkir,,English,149
4,0,Shambling Goblin,,,,,Dragons of Tarkir,,English,118
2,0,Twin Bolt,,,,,Dragons of Tarkir,,English,164
4,0,Nantuko Husk,,,,,Magic Origins,,English,109
1,0,Read the Bones,,,,,Magic Origins,,English,114
3,0,Altar's Reap,,,,,Battle for Zendikar,,English,103
2,0,Bone Splinters,,,,,Battle for Zendikar,,English,105
