Count,Tradelist Count,Name,Foil,Textless,Promo,Signed,Edition,Condition,Language,Card Number
2,0,Mulldrifter,,,,,Lorwyn,,English,76
1,0,Negate,,,,,Morningtide,,English,43
3,0,Cancel,,,,,Shards of Alara,,English,33
2,0,Unsummon,,,,,Magic 2010,,English,79
1,0,Mind Control,,,,,Magic 2010,,English,63
1,0,Staff of the Mind Magus,,,,,Magic 2014 Core Set,,English,221
1,0,Negate,,,,,Magic 2014 Core Set,,English,64
1,0,Water Servant,,,,,Magic 2014 Core Set,,English,80
2,0,New Benalia,,,,,Duel Decks: Heroes vs. Monsters,,English,34
1,0,Benthic Giant,,,,,Theros,,English,41
2,0,Divination,,,,,Magic 2015 Core Set,,English,52
1,0,Riverwheel Aerialists,,,,,Khans of Tarkir,,English,51
1,0,Taigam's Scheming,,,,,Khans of Tarkir,,English,57
3,0,Jeskai Sage,,,,,Fate Reforged,,English,38
3,0,Lotus Path Djinn,,,,,Fate Reforged,,English,39
1,0,Renowned Weaponsmith,,,,,Fate Reforged,,English,48
2,0,Elusive Spellfist,,,,,Dragons of Tarkir,,English,53
1,0,Reduce in Stature,,,,,Dragons of Tarkir,,English,72
2,0,Vial of Dragonfire,,,,,Dragons of Tarkir,,English,247
1,0,Whirler Rogue,,,,,Magic Origins,,English,83
1,0,Angel's Tomb,,,,,Magic Origins,,English,222
1,0,"Alhammarret, High Arbiter",,,,,Magic Origins,,English,43
1,0,Anchor to the Æther,,,,,Magic Origins,,English,44
1,0,Jayemdae Tome,,,,,Magic Origins,,English,231
1,0,Mage-Ring Network,,,,,Magic Origins,,English,249
1,0,Prism Ring,,,,,Magic Origins,,English,235
1,0,Aspiring Aeronaut,,,,,Magic Origins,,English,46
