Count,Tradelist Count,Name,Foil,Textless,Promo,Signed,Edition,Condition,Language,Card Number
2,0,Ghostly Flicker,,,,,Avacyn Restored,,English,57
7,0,Rotting Rats,,,,,Conflux,,English,51
2,0,Moonscarred Werewolf,,,,,Dark Ascension,,English,125
1,0,Aven Tactician,,,,,Dragons of Tarkir,,English,6
2,0,Champion of Arashin,,,,,Dragons of Tarkir,,English,9
3,0,Dromoka Warrior,,,,,Dragons of Tarkir,,English,14
2,0,Enduring Victory,,,,,Dragons of Tarkir,,English,16
2,0,Herald of Dromoka,,,,,Dragons of Tarkir,,English,22
1,0,Lightwalker,,,,,Dragons of Tarkir,,English,24
4,0,Misthoof Kirin,,,,,Dragons of Tarkir,,English,25
3,0,Resupply,,,,,Dragons of Tarkir,,English,32
2,0,Student of Ojutai,,,,,Dragons of Tarkir,,English,40
3,0,Territorial Roc,,,,,Dragons of Tarkir,,English,43
4,0,Ancient Carp,,,,,Dragons of Tarkir,,English,44
1,0,Contradict,,,,,Dragons of Tarkir,,English,49
1,0,Elusive Spellfist,,,,,Dragons of Tarkir,,English,53
3,0,Glint,,,,,Dragons of Tarkir,,English,55
5,0,Ojutai Interceptor,,,,,Dragons of Tarkir,,English,66
1,0,Ojutai's Summons,,,,,Dragons of Tarkir,,English,68
3,0,Reduce in Stature,,,,,Dragons of Tarkir,,English,72
2,0,Sidisi's Faithful,,,,,Dragons of Tarkir,,English,74
1,0,Zephyr Scribe,,,,,Dragons of Tarkir,,English,85
4,0,Gravepurge,,,,,Dragons of Tarkir,,English,104
2,0,Hand of Silumgar,,,,,Dragons of Tarkir,,English,105
3,0,Marsh Hulk,,,,,Dragons of Tarkir,,English,109
5,0,Mind Rot,,,,,Dragons of Tarkir,,English,110
3,0,Reckless Imp,,,,,Dragons of Tarkir,,English,115
3,0,Sibsig Icebreakers,,,,,Dragons of Tarkir,,English,119
4,0,Silumgar Butcher,,,,,Dragons of Tarkir,,English,122
3,0,Hardened Berserker,,,,,Dragons of Tarkir,,English,139
2,0,Kindled Fury,,,,,Dragons of Tarkir,,English,142
7,0,Sabertooth Outrider,,,,,Dragons of Tarkir,,English,152
2,0,Sarkhan's Rage,,,,,Dragons of Tarkir,,English,153
4,0,Screamreach Brawler,,,,,Dragons of Tarkir,,English,155
2,0,Summit Prowler,,,,,Dragons of Tarkir,,English,160
3,0,Tail Slash,,,,,Dragons of Tarkir,,English,161
2,0,Twin Bolt,,,,,Dragons of Tarkir,,English,164
1,0,Vandalize,,,,,Dragons of Tarkir,,English,165
1,0,Volcanic Rush,,,,,Dragons of Tarkir,,English,166
3,0,Aerie Bowmasters,,,,,Dragons of Tarkir,,English,170
5,0,Ainok Artillerist,,,,,Dragons of Tarkir,,English,171
1,0,Atarka Beastbreaker,,,,,Dragons of Tarkir,,English,174
3,0,Colossodon Yearling,,,,,Dragons of Tarkir,,English,178
2,0,Conifer Strider,,,,,Dragons of Tarkir,,English,179
1,0,Glade Watcher,,,,,Dragons of Tarkir,,English,188
4,0,Pinion Feast,,,,,Dragons of Tarkir,,English,195
2,0,Revealing Wind,,,,,Dragons of Tarkir,,English,197
3,0,Segmented Krotiq,,,,,Dragons of Tarkir,,English,202
3,0,Shape the Sands,,,,,Dragons of Tarkir,,English,205
2,0,Sheltered Aerie,,,,,Dragons of Tarkir,,English,206
2,0,Stampeding Elk Herd,,,,,Dragons of Tarkir,,English,208
7,0,Tread Upon,,,,,Dragons of Tarkir,,English,211
3,0,Ancestral Statue,,,,,Dragons of Tarkir,,English,234
3,0,Custodian of the Trove,,,,,Dragons of Tarkir,,English,236
4,0,Spidersilk Net,,,,,Dragons of Tarkir,,English,244
5,0,Court Street Denizen,,,,,Duel Decks: Elspeth vs. Kiora,,English,5
21,0,Gustcloak Harrier,,,,,Duel Decks: Elspeth vs. Kiora,,English,10
14,0,Kinsbaile Skirmisher,,,,,Duel Decks: Elspeth vs. Kiora,,English,15
11,0,Loxodon Partisan,,,,,Duel Decks: Elspeth vs. Kiora,,English,17
3,0,Noble Templar,,,,,Duel Decks: Elspeth vs. Kiora,,English,21
7,0,Standing Troops,,,,,Duel Decks: Elspeth vs. Kiora,,English,25
5,0,Netcaster Spider,,,,,Duel Decks: Elspeth vs. Kiora,,English,49
3,0,Time to Feed,,,,,Duel Decks: Elspeth vs. Kiora,,English,50
6,0,Abzan Runemark,,,,,Fate Reforged,,English,3
6,0,Abzan Skycaptain,,,,,Fate Reforged,,English,4
5,0,Aven Skirmisher,,,,,Fate Reforged,,English,6
2,0,Dragon Bell Monk,,,,,Fate Reforged,,English,10
2,0,Great-Horn Krushok,,,,,Fate Reforged,,English,13
8,0,Pressure Point,,,,,Fate Reforged,,English,21
5,0,Sandblast,,,,,Fate Reforged,,English,24
9,0,Sandsteppe Outcast,,,,,Fate Reforged,,English,25
6,0,Soul Summons,,,,,Fate Reforged,,English,26
1,0,Aven Surveyor,,,,,Fate Reforged,,English,31
9,0,Enhanced Awareness,,,,,Fate Reforged,,English,33
4,0,Jeskai Runemark,,,,,Fate Reforged,,English,37
10,0,Jeskai Sage,,,,,Fate Reforged,,English,38
7,0,Lotus Path Djinn,,,,,Fate Reforged,,English,39
9,0,Rakshasa's Disdain,,,,,Fate Reforged,,English,45
5,0,Refocus,,,,,Fate Reforged,,English,47
3,0,Sultai Skullkeeper,,,,,Fate Reforged,,English,53
2,0,Will of the Naga,,,,,Fate Reforged,,English,58
7,0,Write into Being,,,,,Fate Reforged,,English,59
8,0,Alesha's Vanguard,,,,,Fate Reforged,,English,60
